reporting_month,amount_type,mining_cash_received,mining_power_paid,overhead_paid,net_operating_cash_flow,data_center_buildout_paid,mining_equipment_paid,net_investing_cash_flow,construction_loan_drawn,net_financing_cash_flow,net_change_in_cash,beginning_cash,ending_cash
2026-10-01,Forecast,433333,-266667,-66667,99999,-600000,0,-600000,0,0,-500001,1000000,499999
2026-11-01,Forecast,433333,-266667,-66667,99999,-600000,0,-600000,0,0,-500001,499999,-2
2026-12-01,Forecast,433333,-266667,-66667,99999,-600000,0,-600000,0,0,-500001,-2,-500003
2027-01-01,Forecast,433333,-266667,-66667,99999,-600000,0,-600000,0,0,-500001,-500003,-1000004
2027-02-01,Forecast,433333,-266667,-66667,99999,-600000,0,-600000,0,0,-500001,-1000004,-1500005
2027-03-01,Forecast,433333,-266667,-66667,99999,-600000,0,-600000,0,0,-500001,-1500005,-2000006
2027-04-01,Forecast,433333,-266667,-66667,99999,-600000,0,-600000,0,0,-500001,-2000006,-2500007
2027-05-01,Forecast,433333,-266667,-66667,99999,-600000,0,-600000,0,0,-500001,-2500007,-3000008
2027-06-01,Forecast,433333,-266667,-66667,99999,-600000,0,-600000,0,0,-500001,-3000008,-3500009
2027-07-01,Forecast,433333,-266667,-66667,99999,-600000,0,-600000,0,0,-500001,-3500009,-4000010
2027-08-01,Forecast,433333,-266667,-66667,99999,-600000,0,-600000,0,0,-500001,-4000010,-4500011
2027-09-01,Forecast,433333,-266667,-66667,99999,-600000,0,-600000,0,0,-500001,-4500011,-5000012
