reporting_month,mining_cash_received,mining_power_paid,overhead_paid,net_operating_cash_flow,data_center_buildout_paid,mining_equipment_paid,net_investing_cash_flow,construction_loan_drawn,net_financing_cash_flow,net_change_in_cash,beginning_cash,ending_cash
2026-01-01,300000,-260000,-60000,-20000,-100000,0,-100000,500000,500000,380000,2000000,2380000
2026-02-01,300000,-270000,-70000,-40000,-150000,-500000,-650000,0,0,-690000,2380000,1690000
2026-03-01,400000,-270000,-70000,60000,-250000,0,-250000,0,0,-190000,1690000,1500000
2026-04-01,300000,-260000,-60000,-20000,-250000,0,-250000,500000,500000,230000,1500000,1730000
2026-05-01,400000,-270000,-70000,60000,-350000,0,-350000,0,0,-290000,1730000,1440000
2026-06-01,500000,-270000,-70000,160000,-400000,0,-400000,0,0,-240000,1440000,1200000
2026-07-01,400000,-260000,-60000,80000,-400000,0,-400000,1000000,1000000,680000,1200000,1880000
2026-08-01,400000,-270000,-70000,60000,-500000,0,-500000,0,0,-440000,1880000,1440000
2026-09-01,500000,-270000,-70000,160000,-600000,0,-600000,0,0,-440000,1440000,1000000
2026-10-01,400000,-260000,-60000,80000,-200000,0,-200000,500000,500000,380000,1000000,1380000
2026-11-01,500000,-270000,-70000,160000,-300000,0,-300000,0,0,-140000,1380000,1240000
2026-12-01,600000,-270000,-70000,260000,-500000,0,-500000,0,0,-240000,1240000,1000000
